जबकि	Jabki
यह	yah
जैनों	Jainon
से	se
कम	km
है।	hai.
</s>	</s>
वर्ष	Varsh
2000	2000
में	men
वेंकटरामन	Venkatraman
ने	ne
प्रयोगशाला	prayogshala
में	men
राइबोसोम	Ribosome
की	ki
तीस	tees
ईकाईयों	ikaiyon
का	ka
पता	pata
लगाया	lagaya
और	aur
प्रतिजैविकों	pratijaivikon
के	ke
साथ	saath
इनके	unke
यौगिकों	yougikon
पर	par
भी	bhi
अनुसंधान	anusandhan
किया।	kiya.
</s>	</s>
इस	Is
वृक्ष	vriksha
की	ki
लंबाई	lambai
तकरीबन	takriban
५०	50
से	se
६०	60
फीट	feet
के	ke
आसपास	aaspass
की	ki
होती	hoti
है।	hai.
</s>	</s>
इन	In
अनुसंधान	anusandhan
कार्यक्रमों	karyakramon
में	men
तारा	tara
रचना,	rachana,
तारकीय	tarkiy
संरचना	sanrachana
और	aur
विकास,	vikas,
धूमकेतु,	dhumketu,
नोवा	nova
और	aur
बाइनरी	binary
सिस्टम,	system,
सुपरनोवा,	supernova,
चंद्र	chandra
उपगूहन	upgrhan
अध्ययन	adhhyayan
और	aur
स्टारबर्स्ट	starburst
और	aur
सक्रिय	sakriy
गांगेय	gangeya
नाभिक	nabhik
जैसे	jaise
पिंडों	pindon
और	aur
घटनाओं	ghatanaon
की	ki
विस्तृत	vistrut
रेंज	renj
को	ko
कवर	covar
किया	kiya
जाता	jata
है।	hai.
</s>	</s>
१	1
नबम्बर	November
१९१९	1919
को	ko
मजिस्ट्रेट	magistrate
बी॰	B.
एस॰	S.
क्रिस	Kris
ने	ne
मैनपुरी	Mainpuri
षडयन्त्र	shadyantra
का	ka
फैसला	faisla
सुना	suna
दिया।	diya.
</s>	</s>
अमरीश	Amrish
पुरी	Puri
</s>	</s>
ग्रामीण	Gramin
क्षेत्रों	Kshetron
में	men
लोग	log
अक्सर	aksar
अपशिष्ट	apshisht
का	ka
स्थानान्तरण	sthanantaran
पर्हस्ती	parhasti
स्टेशन	station
पर	par
फेंक	fenk
कर	kar
निपटान	niptan
करते	karte
हैं	hain
जमा	jama
किया	kiya
गया	gaya
मल	mal
फिर	fir
क्षेत्रीय	kshetriya
landfill	landfill
तक	tak
ले	le
जाया	jaya
जाता	jata
है	hai
</s>	</s>
ये	Ye
आंध्र	Andhra
प्रदेश	Pradesh
से	se
हैं।	hain.
</s>	</s>
सुशील	Sushil
सिद्धार्थ	Siddharth
ये	ye
वो	wo
सहर	sahar
तो	to
नहीं	nahi
हिंदी	Hindi
कथा	katha
जगत	jagat
में	men
अपना	apna
ख़ास	khas
मुकाम	mukam
बना	bana
चुके	chuke
युवा	Yuva
रचनाकार	rachnakar
पंकज	Pankaj
सुबीर	Subir
का	ka
प्रथम	pratham
उपन्यास--ये	upanyas--ye
वो	vo
सहर	sahar
तो	to
नहीं --ज्ञानपीठ	nahi-- gyanpith
से	se
आ	aya
गया	gaya
है।	hai.
</s>	</s>
यथार्थ	Yatharth
की	ki
परिधि	paridhi
के	ke
बाहर	bahar
जाकर	jakar
मनचाही	manchahi
उड़ान	udan
लेना	lena
उसके	uske
लिए	liye
प्राय:	prayh
असंभव	asambhav
हो	ho
गया।	gaya.
</s>	</s>
अपने	Apne
पहले	pahale
अभियान	abhiyan
के	ke
सफल	safal
होने	hone
के	ke
बाद	baad
रामेसेस	Rameses
ने	ne
अपने	apne
शासन	shasan
काल	kal
के	ke
पाँचवे	panch
वर्ष	varsh
पर	par
कादेश	kadesh.
नगर	nagar
पर	par
हमला	hamla
किया	kiya
जो	jo
हित्तिते	hitite
साम्राज्य	samrajya
का	ka
अधीन	adhin
था	tha
पर	par
पहले	pahale
सेती	seti
प्रथम	pram
के	ke
अधीन	adhin
था।	tha.
</s>	</s>
ये	Ye
महाराष्ट्र	Maharashtra
से	se
हैं।	hain.
</s>	</s>
वॉरहेड	Warhead
पर	par
एक	ek
टन	ton
तक	tak
का	ka
परमाणु	parmanu
हथियार	hathiyar
ले	le
जाने	jane
में	men
सक्षम।	saksham.
</s>	</s>
आदरणीय	Adarniy
भारत	Bharat
के	ke
राष्ट्रिय	rashtriy
नागरिक	nagarik
महोदय	mahoday
व्	v
नागरिक	nagarik
बन्धुओं	bandhuon
हमारे	hamare
भरत	Bharat
के	ke
नागरिकों	nagarikon
पर	par
राज	raj
करने	karne
वाले	wale
राष्ट्रिय	rashtriy
नागरिकों	nagarikon
से	se
विनम्र	vinamr
अपील	appeal
हमारे	Hamare
देश	desh
का	ka
कोई	koi
भी	bhi
प्रधानमंत्री	Pradhanmantri
अगर	agar
किसी	kisi
राज्य	rajya
में	men
बीस	bees
करोड़	crore
की	ki
मदद	madad
देने	dene
की	ki
घोषणा	ghoshana
करते	karte
है यह	hain
तो	to yah
अच्चा	achha
है	hai
परन्तु	parant
मान	maan
लो	lo
की	ki
किसी	kisi
राज्य	rajya
की	ki
जनता	janta
पेड़	ped
के	ke
पत्तों	patton
के	ke
पत्तल	pattal
दोने	done
का	ka
व्यापर	vyapar
करने	karne
में	men
सक्षम	sakshan
है	hai
तो	to
प्रधानमन्त्री	pradhanmantri
जी	ji
को	ko
यह	yah
घोषणा	ghoshana
करने	karne
की	ki
करपा	karpa
करनी	karni
चाहिए	chahiye
की	ki
केन्द्र	kendra
सर्कार	sarkar
दस	das
करोड़	crore
नगद	nagad
देगे	denge
और	aur
दस	das
करोड़	crore
के	ke
सालाना	salana
राज्य	rajya
की	ki
जनता	janta
से	se
पेड़	ped
के	ke
पत्तों	patto
के	ke
पत्तल	pattal
दोने	done
खरीदेंगे	kharidenge
फिर	fir
देश	desh
की	ki
जनता	janta
को	ko
भोज	bhoj
के	je
लिए	liye
हर	har
गैस	gas
सरेण्डर	surrender
के	ke
साथ	saath
मुफ्त	muft
देंगे	denge
जो	jo
देश	desh
की	ki
जनता	janta
जल	jal
पानी	pani
बर्बादी	barbadi
से	se
जानलेवा	janleva
मलेरिया	malaria
व	v
जल	jal
पानी	pani
बर्बादी	barbadi
से	se
स्टील	steel
के	ke
बर्तन	bartan
व्	va
स्टील	steel
के	ke
ठीकरे	thikare
धोनें	dhhone
पर	par
चमड़ी	chamdi
कटने	katne
की	ki
बीमारी	bimari
न	n
हो	ho
जो	ji
जितना	jitna
आमिर	amirr
आदमी	admi
उतना	utna
बरबाद	barbad
क्यों	kyon
उसका	uska
इलाज	ilaj
ही	hi
नहीं	nahi
होता	hota
स्टील	steel
के	ke
बर्तन	bartan
को	ko
धोने	dhone
वाले	wale
की	ki
परेशानी	pareshani
दूर	dur
बर्तन	bartan
धोने	dhone
वाले	wale
को	ko
रोज	roj
लगभग	lagbhag
दोनों	dono
समय	samay
150	150
ठकरे	thakre
धोने	dhone
से	se
निजात	nijaat
मिलेगी	milegi
स्टील	steel
के	ke
बरतन	bartan
को	ko
धोने	dhone
से	se
जो	jo
जल	jal
बहता	bahata
है	hai
जल	jal
बहने	bahane
से	se
मलेरिया	malaria
के	ke
मछरों	machharon
का	ka
आतंक	atank
मिट	mit
सकता	sakta
है	hai
मलेरिया	malaria
की	ke
बिमारियों	bimariyon
पर	par
परिवार	parivar
बरबाद	barbad
होने	hone
में	men
कमी	kami
आएगी	ayegi
दवाइयों	davaiyon
में	men
शासनात्मक	shasanatmak
कमीशन	commission
बाजी	baji
व	va
घोटाले	ghotale
बाजी	baji
जो	jo
देश	desh
को	ko
बरबाद	barbad
करने	karne
में	men
तुली	tuli
हुई	hui
ह	hai
उसमें	usmen
कमी	kami
आ	aa
सकती	sakti
है	hai
यह	yah
योजना	yojana
हर	har
परिवार	parivar
के	ke
पास	pas
पहुचती	pahunchti
है	hai
तो	to
हर	har
परिवार	parivar
६	6
सदस्य	sadasya
४०	40
हजार	hajar
रूपये	rupaye
की	ki
बचत	bachat
व	v
सरकार	sarkar
को	ko
मलेरिया	malaria
के	ke
लिए	liye
परेशानी	pareshani
में	men
कमी	kami
आएगी	ayegi
मानव	manav
व	va
जानवरों	janvaron
को	ko
एलरजी	allergy
नमक	namak
बिमारियों	bimariyon
से	se
छुटकारा	chhutkara
पाने	pane
में	men
मदद	madad
मिलेगी	milegi
और	aur
किसी	kisi
राज्य	rajya
का	ka
मुख्यमंत्री	mukhyamantri
जो	jo
अपने	apne
राज्य	rajya
को	ko
मेहनतकस	mehnatkas
व	va
महत्वाकान्सी	mahattwakansi
आत्म	atm
शक्तिशाली	Shaktishali
बनाना	banana
चाहता	chahata
है	hai
तो	to
अपनी	apni
राज्य	rajya
की	ki
जनता	janta
को	ko
पेड़	ped
के	ke
पत्तों	patto
के	ke
पत्तल	pattal
दोने	done
का	ka
व्यापर	vyapar
करवाने	karnave
व	v
पेड़	ped
के	ke
पत्तों	patton
के	ke
पत्तल	patta
दोने	dono
में	men
खाने	khane
का	ka
प्रचार	prachar
होना	hona
चाहिए	chahiye
सरकारें	Sarkaren
जनता	janta
नो	no
पेड़	ped
के	ke
पत्तों	patton
के	je
पत्तल	patta
दोने	done
का	ka
व्यापर	vyapar
का	ka
अनुदान	anudan
देगी	degi
तो	to
उस	us
राज्य	rajya
में	men
हरियाली	haiyali
की	ki
कमी	kami
कभी	kabhi
नहीं	nahi
आएगी==	ayegi==
महुआ	mahua
==	==
</s>	</s>
दिव्या	Divya
राणा	Rana
</s>	</s>
जगदीप	Jagdeep
</s>	</s>
गुझिया	Guziya
(निशा	(Nisha
मधुलिका)	Madhulika)
</s>	</s>
महेश	Mahesh
एलकुंचवार	Elkunchvar
सरस्वती	saraswati
सम्मान	samman
से	se
सम्मानित	sammanit
साहित्यकार	sahityakar
हैं।	hain.
</s>	</s>
१९८५	1985
में	men
चेन्नई	Chennai
में	men
पहले	pahale
भारतीय	Bharatiya
एड्स	Aids
के	ke
मामलों	mamolom
का	ka
निदान	nidan
करने	karne
के	ke
बाद	baad
माइक्रोसिबोलॉजिस्ट	Microbiologist
ने	ne
भारत	Bharat
में	men
एड्स	Aids
अनुसंधान	Anusandhan
और	aur
रोकथाम	rokhtham
का	ka
बीड़ा	bida
उठाया	uthaya
था।	tha.
</s>	</s>
यह	Yah
बांका	Banka
जिला	Zilla
में	be
अवस्थित	avashit
है।	hai.
</s>	</s>
विभिन्न	Vibhinna
देशों	deshon
की	ki
प्राचीन	prachin
भाषाएँ	bhashayen
जिनका	jinka
अध्ययन	adhyayan
और	aur
वर्गीकरण	vargikaran
पर्याप्त	prayapt
सामग्री	samagri
के	ke
अभाव	abhav
में	men
नहीं	nahi
हो	ho
सका	saka
है,	hai,
पहली	pahali
अवस्था	avastha
में	men
है।	hain.
</s>	</s>
आठ	Aath
साल	saal
तक	tak
यह	yah
समिति	samiti
राष्ट्रभाषा	Rashtrabhasha
प्रचार	prachar
समिति,	samiti,
वर्धा	vardha
से	se
संबद्ध	sambandh
रही।	rahi.
</s>	</s>
1947	1947
में	men
दारा	Dara
सिंह	Singh
सिंगापुर	Singapore
आ	aa
गये।	gaye.
</s>	</s>
अकादमी	Academy
यूरोपीय	Europiya
विज्ञान	Vigyan
फाउंडेशन	Foundation
में	men
पर्यवेक्षक	paryavekshak
का	ka
दर्जा	darja
प्राप्त	prapt
है	hai
और	aur
ब्रिटिश	British
रॉयल	Royal
सोसायटी,	Society,
ब्रिटिश	British
अकादमी,	Academy,
स्वीडिश	Swedish
एकेडमी	Academy
ऑफ	of
साइंसेज	Sciences
और	aur
सिंगापुर	Singapore
के	ke
राष्ट्रीय	Rashtriy
अनुसंधान	anusandhan
परिषद	parishad
के	ke
साथ	saath
विनिमय	vinimay
कार्यक्रम	karyakram
चलाता	chalata
है।	hai.
</s>	</s>
अब	Ab
इस	is
ओर	or
चेष्ठा	cheshta
और	aur
प्रयत्न	prayatna
होने	hone
लगे	lage
हैं	hain
कि	ki
यदि	yadi
संभव	sambhav
हो	ho
तो	to
सभ्य	sabhya
संसार	sansar
ही	hi
नहीं,	Nahi,
वरन्	Varn
मनुष्य	manushya
मात्र	matra
के	ke
सामूहिक	samuhik
विकास	vikas
या	ya
विनाश	vinash
का	ka
अध्ययन	adhyayan
भूगोल	bhugil
के	ke
समान	saman
किया	kiya
जाए।	jaye.
</s>	</s>
1975	1975
में	men
उन्होंने	unhone
फेयरवेल,	fairwell,
माई	My
लवली,	lovely,
कैपोन	Capon
और	aur
डेथ	Death
रेस	race
2000	2000
में	men
सहयोगी	Sahayogi
कलाकार	kalakar
का	ka
किरदार	kirdar
निभाया.	nibhaya.
</s>	</s>
साहित्य	Sahitya
अकादमी	Academy
</s>	</s>
प्रादेशिक	Pradeshik
प्रतिनिधित्व	Pratinidhitwa
प्रणाली	pranali
के	ke
अंतर्गत	antargat
संपूर्ण	Saampurn
भूभाग	Bhubhag
को	ko
विभिन्न	vibhinna
निर्वाचन	Nirwachan
क्षेत्रों	Kshetron
में	men
बांट	baat
दिया	diya
जाता	jata
है	hai
और	aur
प्रत्येक	pratyek
निर्वाचन	nirvachan
क्षेत्र	kshetra
से	se
एक	ek
व्यक्ति	vyakti
या	ya
प्रतिनिधि	pratinidhi
निर्वाचित	nirvachit
होता	hota
है।	hai.
</s>	</s>
किंतु	Kintu
अधिकांश	adhikansh
विद्वानों	Vidwanon
का	ka
यही	yahi
मत	mat
है	hai
कि	ki
"वार'	"waar
केवल	keval
"पौड़ी'	"paudi'
छंद	chhand
में	men
ही	hi
रची	rachi
जा	jaa
सकती	sakti
है।	hai.
</s>	</s>
स्टोर्मर	Stomer
को	ki
भौतिकी	bhautiki
में	men
डैनियल	Daniel
सुई	Sui
और	aur
रॉबर्ट	Robert
लाफलिन	Laughlin
साथ	saath
"	"
क्वांटम	Quantum
फ्लूइड	Fluid
के	ke
आंशिक	anshik
चार्ज्ड	charged
उत्तेजित	uttejit
प्रकार	prakar
की	ki
खोज"	khoj"
के	ke
लिए	liye
१९९८	1998
में	men
नोबेल	Nobel
पुरस्कार	Puraskar
मिला।	mila.
</s>	</s>
इससे	Isse
बिस्मिल	Bismil
की	ki
आत्मा	atma
को	ko
अपार	apaar
कष्ट	kashat
हुआ।	hua.
</s>	</s>
इसमें	Ismen
लोग	Log
खरीददारी	kharidari
करने	karne
के	ke
लिए	liye
आते	ata
हैं	hain
तथा	tatha
यहाँ	yahan
कई	kai
प्रकार	prakar
की	ki
कीमती	kimati
वस्तुएँ	vastuyen
मिलती	milti
है।	hai.
</s>	</s>
समस्याएं	Samasyan
कंकालीय	kankaliy
मांसपेशी,	maspeshi,
या	ya
मांसपेशी	maaspeshi
विकार	vikar
मस्तिष्क	mastishq
और	aur
अन्य	anya
अंग	ang
प्रणालियों	pranaliyon
पर	par
प्रभाव	prabhav
के	ke
साथ	saath
जुड़	jud
सकता	sakta
है।	hai.
</s>	</s>
भारत	Bharat
की	ki
ऊर्जा	urja
नीति	niti
</s>	</s>
खराद	Kharad
</s>	</s>
1395	1395
ग्रेगोरी	Gregory
कैलंडर	Calendar
का	ka
एक	ek
साधारण	sadharan
वर्ष	varsh
है।	hai.
</s>	</s>
उनकी	Unki
भौंक	Bhounk
तेज	tez
और	aur
विशिष्ट	vishishta
होती	hoti
है।	hai.
</s>	</s>
जबकि	Jabki
कुछ	kuch
इतिहासकारों	itihaskaron
के	ke
अनुसार	anusar
वो	vo
यदु	yadu
वंश	vansh
के	ke
सम्बंधित	sambandhit
हैं।	hai.
</s>	</s>
दर्शकों	Darshakon
ने	ne
उनके	unke
बजाये	bajay
संगीत	sangit
को	ko
स्वीकार	swikar
किया,	kiya,
लेकिन	lekin
उनके	unke
कुछ	kuch
अन्य	anya
दर्शकों	darshakon
के	ke
विपरीत,	viparit,
वे	ve
ड्रग-मुक्त	drug-mukt
रहे	rahe
-	-
"हम	"Hum
उसके	iske
बाहर	bahar
थे,	the,
एसिड	acid
पर	par
नहीं,	nahi,
लेकिन	lekin
लूप	loop
के	ke
बाहर,	bahar,
UFO	UFO
के	ke
ड्रेसिंग	dressing
रूम	room
में	men
अटके	atake
थे।"	the."
</s>	</s>
लड़कियों	ladkiyon
ने	ne
कुत्ते	kutte
का	ka
नाम	naam
बो	bo
रखा,	rakhaa,
क्योंकि	kyonki
इसी	isi
नाम	naam
से	se
उनके	unke
एक चचेरे	chachere
भाई	bhai
एक	ek
बिल्ली	billi
है	hai
और	aur
क्योंकि	kyon ki
श्रीमती	Shrimati
ओबामा	Obama
के	ke
पिता	pita
का	ka
उपनाम	upnaam
डिडली	didli
दिया	diya
गया	gaya
था,	tha,
जो	jo
कि	ki
स्वर्गीय	swargiya
संगीतकार	sangitkar
बो	Bo
डिडली	Didli
के	ke
नाम	naam
पर	par
दिया	diya
गया	gaya
था।	tha.
</s>	</s>
थाईलैण्ड	Thailand
में	men
बौद्ध	Baudhha
धर्म	Dharma
</s>	</s>
प्रत्येक	Pratyek
वर्ष	varsh
देहरादून	Dehradun
में	men
श्री	Shri
गुरू	Guru
रामराय	Ramray
दरबार	Darbar
के	ke
आँगन	angan
में	men
पवित्र	paitra
मूर्ति	murti
को	ko
उठाया	uthaya
जाता	jata
है,	hai,
जहाँ	jahan
गुरू	guru
ने	ne
अपना	apna
डेरा	dera
स्थापित	sthapit
किया	kiya
था।	tha.
</s>	</s>
हार्ट	Heart
ने	ne
लिखा,"बोहेमिया	likha,"Bohemiya
को	ko
कभी	kabhi
भी	bhi
भौगोलिक	bhaugolik
तौर	taur
पर	par
स्थापित	sthapit
करने	karne
की	ki
कोशिश	koshish
नहीं	nahi
की	ki
गयी,	gayi,
लेकिन	lekin
किसी	kisi
भी	bhi
दिन	din
जब	jab
आकाश	akash
साफ़	saaf
हो	ho
और	aur
सूरज	suraj
अस्त	ast
हो	ho
रहा	raha
हो,	ho,
यदि	yadi
आप	aap
टेलीग्राफ	telegraph
पहाडी	Pahadi
पर	par
चढ़ेंगे,	chadhenge,
तो	to
पश्चिम	paschin
में	men
आप	aap
इसकी	iski
मनोहर	manohar
घाटी	ghati
और	aur
बादलों	badalon
से	se
आच्छादित	achhadit
पहाड़ियों	ahadiyon
को	ko
देखेंगे....	dekhenge...
</s>	</s>
हिब्रू	Hebrew
शब्द	shabd
तुकी	tuki
(बहुवचन	(Bahuvachan
तुक्कियिम)	Tukkiyim)
तमिल	tamil
शब्द	shabd
तेख	tekh
से	se
आया	aya
है	hai
लेकिन	lekin
कभी	kabhi
कभी	kabhi
मिस्र	misr
के	ke
शब्द	shabd
तेख	tekh
से	se
भी	bhi
संकेत	sanket
हुए	huye
हैं।	hain.
</s>	</s>
लेकिन	Lekin
जो	jo
सत्य	satya
जाना	jana
चाहता	chahata
वह	vah
खोज	khoj
करता	karta
है	hai
फिर	fir
वहां	vahan
जनता	janata
है	hai
की	ki
सभी	sabhi
प्रचीन	prachin
धर्म	dharm
इस्लाम	Islam
इसाई	Isaai
यहूदी	Yahudi
शिन्तो	Shinto
ताओ	Tao
जैन	Jain
बौध्द	Baudh
में	men
विश्व	vishwa
की	ki
उत्पत्ति	utpatti
व	v
अंत	ant
के	ke
कई	kai
कहानी	kahaniyan
है	ahai
और	aur
भगवान	bhagwan
के	ke
सभी	sabhi
मान्यता	Manyata
भिन्न	bhinna
है	hai
तो	to
स्वयं	swayam
की	ki
धर्म	dhram
कथा	katha
का	ka
कई	kai
सालो	salon
तक	tak
चिंतन	chintan
मनन	manan
व	v
परिकल्पना	parkalpana
होने	hone
पर	par
ज्ञात	gyat
होता	hota
है	hai
की	ki
वह	vah
चेतना	chetana
की	ki
कहानी	kahani
है	hai
और	aur
परमात्मा	parmatma
सबके	sabke
लिए	liye
भिन्न	bhinn
स्वरूप	swarup
में	men
है	hain
।	.
</s>	</s>
४	4
मई	May
१९२९	1929
के	ke
अभ्युदय	abhuday
में	men
इलाहाबाद	Allahabad
से	se
यह	yah
समाचार	samachar
छपा	chhapa
-	-
ऐसेम्बली	assembly
का	ka
बम	bomb
केस:	case:
काकोरी	Kakori
केस	case
से	se
इसका	iska
सम्बन्ध	sambandh
है।	hai.
</s>	</s>
कंपनी	Company
का	ka
तकनीकी	takniki
केंद्र	kendra
वेस्टन,	Western,
एफ़एल	FL
में	men
है।	hai.
</s>	</s>
कायस्थेर	Kaysther
वर्णपरिचय	Varnaparichay
</s>	</s>
जब	Jab
चन्द्रमा	chandrama
निरयण	niryan
पद्धति	paddhati
से	se
वॄष	vrish
राशि	rashi
में	men
होता	hota
है	hai
तो	to
जातक	jatak
की	ki
वॄष	vrish
राशि	rashi
मानी	mani
जाती	jati
है,	hai,
जन्म	janam
समय	ke
में	samay
जन्म	janm
लगन	lagan
वॄष	vrish
होने	hone
पर	par
भी	bhi
यही	yahi
प्रभाव	prabhav
जातक	jatak
पर	par
होता	hota
है।	hai.
</s>	</s>
जयसिंहवर्मन्	Jaisinghvarman
षष्ठ	shashth
ने	ke
अन्नम	Annam
की	ki
एक	ek
राजकुमारी	rajkumari
से	se
विवाह	vivah
करन	karne
के	ke
लिये	liye
अपने	apne
राज्य	rajya
के	ke
दो	do
उत्तरी	uttari
प्रांत	prant
अन्नम	Annam
के	ke
नरेश	naresh
का	ka
दे	de
दिए।	diye.
</s>	</s>
IMF	IMF
के	ke
अनुसार,	anusar,
1980	1980
के	ke
दशक	dashak
के	ke
बाद	baad
से	se
उभरते	ubharte
तथा	tatha
विकासशील	vikasshil
देशों	deshon
की	ki
वास्तविक	vastavik
GDP	GDP
वृद्धि,	vruddhi,
ऊर्ध्वमुखी	urdhavmukhi
और	aur
उन्नत	unnat
अर्थ-व्यवस्थाओं	arth-vyavasthaon
की	ko
अधोमुखी	adhomukhi
रही	rahi
है।	hai.
</s>	</s>
जिसका	Jiska
निर्देशन	Nirdeshan
श्रीराम	Shriram
राघवन	Raghavan
और	aur
निर्माण	nirman
दिनेश	Dinesh
विजन	Vijan
एवं	evam
सुनील	Sunil
लुल्ला	Lulla
ने	ne
किया	kiya
है।	hai.
</s>	</s>
ए.	A.
बेरेडल	Beredal
कीथ:	Keith:
एक	A
हिस्ट्री	history
ऑव	of
संस्कृत	Sanskrit
लिटरेचर;	Literature;
</s>	</s>
संविधान	Sanvidhan
के	ke
लेसोथो	Lesotho
में	men
आया	aya
बल	bal
के	ke
प्रकाशन	prakashan
के	ke
बाद	baad
प्रारंभ	prarambh
आदेश	adesh
है	hai
।	.
</s>	</s>
